year,datetime,stage,stadium,city,team_name,team_goals,playing_against,win_conditions,attendance,referee,assistant_1,assistant_2,round_id,match_id,win,response
2014,18 Jun 2014 - 13:00,Group B,Estadio Beira-Rio,Porto Alegre,Australia,2,Netherlands,NA,42877,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255931,300186478,no,0
2014,18 Jun 2014 - 13:00,Group B,Estadio Beira-Rio,Porto Alegre,Netherlands,3,Australia,NA,42877,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255931,300186478,yes,1
2014,17 Jun 2014 - 13:00,Group H,Estadio Mineirao,Belo Horizonte,Belgium,2,Algeria,NA,56800,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),255931,300186479,yes,1
2014,17 Jun 2014 - 13:00,Group H,Estadio Mineirao,Belo Horizonte,Algeria,1,Belgium,NA,56800,RODRIGUEZ Marco (MEX),TORRENTERA Marvin (MEX),QUINTERO Marcos (MEX),255931,300186479,no,0
2014,26 Jun 2014 - 17:00,Group H,Arena de Sao Paulo,Sao Paulo,Korea Republic,0,Belgium,NA,61397,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),255931,300186480,no,0
2014,26 Jun 2014 - 17:00,Group H,Arena de Sao Paulo,Sao Paulo,Belgium,1,Korea Republic,NA,61397,Ben WILLIAMS (AUS),CREAM Matthew (AUS),ANAZ Hakan (AUS),255931,300186480,yes,1
2014,22 Jun 2014 - 13:00,Group H,Estadio do Maracana,Rio De Janeiro,Belgium,1,Russia,NA,73819,BRYCH Felix (GER),BORSCH Mark (GER),LUPP Stefan (GER),255931,300186481,yes,1
2014,22 Jun 2014 - 13:00,Group H,Estadio do Maracana,Rio De Janeiro,Russia,0,Belgium,NA,73819,BRYCH Felix (GER),BORSCH Mark (GER),LUPP Stefan (GER),255931,300186481,no,0
2014,25 Jun 2014 - 16:00,Group E,Arena Amazonia,Manaus,Honduras,0,Switzerland,NA,40322,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),255931,300186482,no,0
2014,25 Jun 2014 - 16:00,Group E,Arena Amazonia,Manaus,Switzerland,3,Honduras,NA,40322,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),255931,300186482,yes,1
2014,22 Jun 2014 - 18:00,Group G,Arena Amazonia,Manaus,USA,2,Portugal,NA,40123,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),255931,300186483,no,0
2014,22 Jun 2014 - 18:00,Group G,Arena Amazonia,Manaus,Portugal,2,USA,NA,40123,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),255931,300186483,yes,1
2014,24 Jun 2014 - 13:00,Group D,Estadio Mineirao,Belo Horizonte,Costa Rica,0,England,NA,57823,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255931,300186484,no,0
2014,24 Jun 2014 - 13:00,Group D,Estadio Mineirao,Belo Horizonte,England,0,Costa Rica,NA,57823,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255931,300186484,yes,1
2014,04 Jul 2014 - 13:00,Quarter-finals,Estadio do Maracana,Rio De Janeiro,France,0,Germany,NA,74240,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),255953,300186485,no,0
2014,04 Jul 2014 - 13:00,Quarter-finals,Estadio do Maracana,Rio De Janeiro,France,0,Germany,NA,74240,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),255953,300186485,no,0
2014,04 Jul 2014 - 13:00,Quarter-finals,Estadio do Maracana,Rio De Janeiro,Germany,1,France,NA,74240,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),255953,300186485,yes,1
2014,04 Jul 2014 - 13:00,Quarter-finals,Estadio do Maracana,Rio De Janeiro,Germany,1,France,NA,74240,PITANA Nestor (ARG),MAIDANA Hernan (ARG),BELATTI Juan Pablo (ARG),255953,300186485,yes,1
2014,19 Jun 2014 - 16:00,Group D,Arena de Sao Paulo,Sao Paulo,Uruguay,2,England,NA,62575,Carlos VELASCO CARBALLO (ESP),ALONSO FERNANDEZ Roberto (ESP),YUSTE Juan (ESP),255931,300186486,yes,1
2014,19 Jun 2014 - 16:00,Group D,Arena de Sao Paulo,Sao Paulo,England,1,Uruguay,NA,62575,Carlos VELASCO CARBALLO (ESP),ALONSO FERNANDEZ Roberto (ESP),YUSTE Juan (ESP),255931,300186486,no,0
2014,28 Jun 2014 - 13:00,Round of 16,Estadio Mineirao,Belo Horizonte,Brazil,1,Chile,Brazil win on penalties (3 - 2),57714,WEBB Howard (ENG),MULLARKEY Michael (ENG),Darren CANN (ENG),255951,300186487,no,0
2014,28 Jun 2014 - 13:00,Round of 16,Estadio Mineirao,Belo Horizonte,Brazil,1,Chile,Brazil win on penalties (3 - 2),57714,WEBB Howard (ENG),MULLARKEY Michael (ENG),Darren CANN (ENG),255951,300186487,no,0
2014,28 Jun 2014 - 13:00,Round of 16,Estadio Mineirao,Belo Horizonte,Chile,1,Brazil,Brazil win on penalties (3 - 2),57714,WEBB Howard (ENG),MULLARKEY Michael (ENG),Darren CANN (ENG),255951,300186487,yes,1
2014,28 Jun 2014 - 13:00,Round of 16,Estadio Mineirao,Belo Horizonte,Chile,1,Brazil,Brazil win on penalties (3 - 2),57714,WEBB Howard (ENG),MULLARKEY Michael (ENG),Darren CANN (ENG),255951,300186487,yes,1
2014,05 Jul 2014 - 17:00,Quarter-finals,Arena Fonte Nova,Salvador,Netherlands,0,Costa Rica,Netherlands win on penalties (4 - 3),51179,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),255953,300186488,no,0
2014,05 Jul 2014 - 17:00,Quarter-finals,Arena Fonte Nova,Salvador,Netherlands,0,Costa Rica,Netherlands win on penalties (4 - 3),51179,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),255953,300186488,no,0
2014,05 Jul 2014 - 17:00,Quarter-finals,Arena Fonte Nova,Salvador,Costa Rica,0,Netherlands,Netherlands win on penalties (4 - 3),51179,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),255953,300186488,yes,1
2014,05 Jul 2014 - 17:00,Quarter-finals,Arena Fonte Nova,Salvador,Costa Rica,0,Netherlands,Netherlands win on penalties (4 - 3),51179,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),255953,300186488,yes,1
2014,14 Jun 2014 - 16:00,Group D,Estadio Castelao,Fortaleza,Uruguay,1,Costa Rica,NA,58679,BRYCH Felix (GER),BORSCH Mark (GER),LUPP Stefan (GER),255931,300186489,no,0
2014,14 Jun 2014 - 16:00,Group D,Estadio Castelao,Fortaleza,Costa Rica,3,Uruguay,NA,58679,BRYCH Felix (GER),BORSCH Mark (GER),LUPP Stefan (GER),255931,300186489,yes,1
2014,09 Jul 2014 - 17:00,Semi-finals,Arena de Sao Paulo,Sao Paulo,Netherlands,0,Argentina,Argentina win on penalties (2 - 4),63267,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),255955,300186490,no,0
2014,09 Jul 2014 - 17:00,Semi-finals,Arena de Sao Paulo,Sao Paulo,Netherlands,0,Argentina,Argentina win on penalties (2 - 4),63267,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),255955,300186490,no,0
2014,09 Jul 2014 - 17:00,Semi-finals,Arena de Sao Paulo,Sao Paulo,Argentina,0,Netherlands,Argentina win on penalties (2 - 4),63267,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),255955,300186490,yes,1
2014,09 Jul 2014 - 17:00,Semi-finals,Arena de Sao Paulo,Sao Paulo,Argentina,0,Netherlands,Argentina win on penalties (2 - 4),63267,C�neyt �AKIR (TUR),DURAN Bahattin (TUR),ONGUN Tarik (TUR),255955,300186490,yes,1
2014,28 Jun 2014 - 17:00,Round of 16,Estadio do Maracana,Rio De Janeiro,Colombia,2,Uruguay,NA,73804,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),255951,300186491,yes,1
2014,28 Jun 2014 - 17:00,Round of 16,Estadio do Maracana,Rio De Janeiro,Colombia,2,Uruguay,NA,73804,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),255951,300186491,yes,1
2014,28 Jun 2014 - 17:00,Round of 16,Estadio do Maracana,Rio De Janeiro,Uruguay,0,Colombia,NA,73804,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),255951,300186491,no,0
2014,28 Jun 2014 - 17:00,Round of 16,Estadio do Maracana,Rio De Janeiro,Uruguay,0,Colombia,NA,73804,Bj�rn KUIPERS (NED),Sander VAN ROEKEL (NED),Erwin ZEINSTRA (NED),255951,300186491,no,0
2014,13 Jun 2014 - 13:00,Group A,Estadio das Dunas,Natal,Mexico,1,Cameroon,NA,39216,ROLDAN Wilmar (COL),CLAVIJO Humberto (COL),DIAZ Eduardo (COL),255931,300186492,yes,1
2014,13 Jun 2014 - 13:00,Group A,Estadio das Dunas,Natal,Cameroon,0,Mexico,NA,39216,ROLDAN Wilmar (COL),CLAVIJO Humberto (COL),DIAZ Eduardo (COL),255931,300186492,no,0
2014,21 Jun 2014 - 16:00,Group G,Estadio Castelao,Fortaleza,Germany,2,Ghana,NA,59621,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),255931,300186493,no,0
2014,21 Jun 2014 - 16:00,Group G,Estadio Castelao,Fortaleza,Ghana,2,Germany,NA,59621,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),255931,300186493,yes,1
2014,15 Jun 2014 - 13:00,Group E,Estadio Nacional,Brasilia,Switzerland,2,Ecuador,NA,68351,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),255931,300186494,yes,1
2014,15 Jun 2014 - 13:00,Group E,Estadio Nacional,Brasilia,Ecuador,1,Switzerland,NA,68351,Ravshan IRMATOV (UZB),RASULOV Abduxamidullo (UZB),KOCHKAROV Bakhadyr (KGZ),255931,300186494,no,0
2014,22 Jun 2014 - 16:00,Group H,Estadio Beira-Rio,Porto Alegre,Korea Republic,2,Algeria,NA,42732,ROLDAN Wilmar (COL),DIAZ Eduardo (COL),LESCANO Christian (ECU),255931,300186495,no,0
2014,22 Jun 2014 - 16:00,Group H,Estadio Beira-Rio,Porto Alegre,Algeria,4,Korea Republic,NA,42732,ROLDAN Wilmar (COL),DIAZ Eduardo (COL),LESCANO Christian (ECU),255931,300186495,yes,1
2014,15 Jun 2014 - 16:00,Group E,Estadio Beira-Rio,Porto Alegre,France,3,Honduras,NA,43012,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),255931,300186496,yes,1
2014,15 Jun 2014 - 16:00,Group E,Estadio Beira-Rio,Porto Alegre,Honduras,0,France,NA,43012,RICCI Sandro (BRA),DE CARVALHO Emerson (BRA),VAN GASSE Marcelo (BRA),255931,300186496,no,0
2014,01 Jul 2014 - 17:00,Round of 16,Arena Fonte Nova,Salvador,Belgium,2,USA,Belgium win after extra time,51227,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255951,300186497,yes,1
2014,01 Jul 2014 - 17:00,Round of 16,Arena Fonte Nova,Salvador,Belgium,2,USA,Belgium win after extra time,51227,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255951,300186497,yes,1
2014,01 Jul 2014 - 17:00,Round of 16,Arena Fonte Nova,Salvador,USA,1,Belgium,Belgium win after extra time,51227,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255951,300186497,no,0
2014,01 Jul 2014 - 17:00,Round of 16,Arena Fonte Nova,Salvador,USA,1,Belgium,Belgium win after extra time,51227,HAIMOUDI Djamel (ALG),ACHIK Redouane (MAR),ETCHIALI Abdelhak (ALG),255951,300186497,no,0
2014,18 Jun 2014 - 16:00,Group B,Estadio do Maracana,Rio De Janeiro,Spain,0,Chile,NA,74101,GEIGER Mark (USA),HURD Sean (USA),FLETCHER Joe (CAN),255931,300186498,no,0
